symbol;priceChange;priceChangePercent;weightedAvgPrice;prevClosePrice;lastPrice;lastQty;bidPrice;bidQty;askPrice;askQty;openPrice;highPrice;lowPrice;volume;quoteVolume;openTime;closeTime;firstId;lastId;count
MCOUSDT;0,00000000;0,000;0,00000000;2,74400000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
XLMBUSD;0,00000000;0,000;0,00000000;0,11970000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
ADABUSD;-0,01470000;-2,254;0,64103134;0,65230000;0,63740000;31,30000000;0,00000000;0,00000000;0,00000000;0,00000000;0,65210000;0,66310000;0,61080000;1096172,10000000;702680,66530000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;106492683;106495712;3030
CTXCBNB;0,00000000;0,000;0,00000000;0,00412200;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
CTXCBTC;-0,00000033;-3,733;0,00000870;0,00000888;0,00000851;364,00000000;0,00000847;1380,00000000;0,00000851;2524,00000000;0,00000884;0,00000897;0,00000840;95396,00000000;0,82947866;2024-01-04 22:12:09.198;2024-01-05 22:12:09.198;7527669;7528210;542
CTXCUSDT;-0,02010000;-5,133;0,37839013;0,39180000;0,37150000;55,00000000;0,37140000;30,00000000;0,37190000;895,00000000;0,39160000;0,39680000;0,36230000;3466600,00000000;1311727,22820000;2024-01-04 22:12:03.040;2024-01-05 22:12:03.040;34998763;35016703;17941
BCHBNB;0,00100000;0,135;0,73822969;0,74600000;0,74200000;0,10000000;0,74300000;0,05400000;0,74400000;5,55100000;0,74100000;0,76500000;0,71700000;299,68000000;221,23267400;2024-01-04 22:12:04.242;2024-01-05 22:12:04.242;3005304;3005499;196
BCHBTC;-0,00004000;-0,742;0,00537130;0,00539000;0,00535000;0,60000000;0,00535000;43,68500000;0,00536000;51,11800000;0,00539000;0,00548000;0,00528000;2927,78600000;15,72602003;2024-01-04 22:12:09.427;2024-01-05 22:12:09.427;31484515;31487235;2721
BCHUSDT;-4,30000000;-1,804;234,75712423;238,50000000;234,10000000;5,07300000;234,10000000;0,05500000;234,20000000;72,74800000;238,40000000;242,70000000;228,80000000;90176,98200000;21169688,96590000;2024-01-04 22:12:09.406;2024-01-05 22:12:09.406;155186872;155240530;53659
BCHUSDC;0,00000000;0,000;0,00000000;114,80000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;2023-12-14 06:22:19.680;2023-12-15 06:22:19.680;-1;-1;0
